source_skill,recommended_skill,similarity_score,rank
Persona (User Experience),Git (Version Control System),0.0,4
Persona (User Experience),Threat Modeling,0.0,5
Regression Analysis,Analysis,0.4933,1
Regression Analysis,Data Analysis,0.2797,2
Regression Analysis,Statistical Analysis,0.2518,3
Regression Analysis,Requirements Analysis,0.2366,4
Regression Analysis,Classification And Regression Tree (CART),0.2114,5
Incident Response,Responsive Web Design,0.2522,1
Incident Response,Computer Security Incident Management,0.2266,2
Incident Response,Git (Version Control System),0.0,3
Incident Response,Threat Modeling,0.0,4
Incident Response,Quality Management,0.0,5
Intrusion Detection and Prevention,Git (Version Control System),0.0,1
Intrusion Detection and Prevention,Threat Modeling,0.0,2
Intrusion Detection and Prevention,Quality Management,0.0,3
Intrusion Detection and Prevention,Engineering Management,0.0,4
Intrusion Detection and Prevention,Process Optimization,0.0,5
Operational Efficiency,Git (Version Control System),0.0,1
Operational Efficiency,Threat Modeling,0.0,2
Operational Efficiency,Quality Management,0.0,3
Operational Efficiency,Engineering Management,0.0,4
Operational Efficiency,Process Optimization,0.0,5
Tensorflow,Git (Version Control System),0.0,1
Tensorflow,Threat Modeling,0.0,2
Tensorflow,Quality Management,0.0,3
Tensorflow,Engineering Management,0.0,4
Tensorflow,Process Optimization,0.0,5
Usability,Usability Testing,0.5798,1
Usability,Git (Version Control System),0.0,2
Usability,Threat Modeling,0.0,3
Usability,Quality Management,0.0,4
Usability,Engineering Management,0.0,5
Milestones (Project Management),Project Management,0.662,1
Milestones (Project Management),Agile Project Management,0.4472,2
Milestones (Project Management),Project Management Life Cycle,0.3507,3
Milestones (Project Management),Project Controls,0.1767,4
Milestones (Project Management),Project Documentation,0.1732,5
Project Management,Agile Project Management,0.6755,1
Project Management,Milestones (Project Management),0.662,2
Project Management,Project Management Life Cycle,0.5297,3
Project Management,Project Controls,0.267,4
Project Management,Project Documentation,0.2616,5
Network Troubleshooting,Network Security,0.2524,1
Network Troubleshooting,Computer Networking,0.2478,2
Network Troubleshooting,Network Architecture,0.2366,3
Network Troubleshooting,Network Protocols,0.2301,4
Network Troubleshooting,Artificial Neural Networks,0.1776,5
Project Closure,Project Management,0.2541,1
Project Closure,Project Controls,0.2108,2
Project Closure,Project Documentation,0.2066,3
Project Closure,Project Planning,0.2066,4
Project Closure,Project Scoping,0.2006,5
Document Management,Project Documentation,0.3749,1
Document Management,Project Management,0.1947,2
Document Management,Engineering Management,0.1718,3
Document Management,Configuration Management,0.1687,4
Document Management,Quality Management,0.1668,5
Predictive Modeling,Threat Modeling,0.2892,1
Predictive Modeling,Large Language Modeling,0.2139,2
Predictive Modeling,Git (Version Control System),0.0,3
Predictive Modeling,Quality Management,0.0,4
Predictive Modeling,Engineering Management,0.0,5
CI/CD,Git (Version Control System),0.0,1
CI/CD,Threat Modeling,0.0,2
CI/CD,Quality Management,0.0,3
CI/CD,Engineering Management,0.0,4
CI/CD,Process Optimization,0.0,5
Graphing,Git (Version Control System),0.0,1
Graphing,Threat Modeling,0.0,2
Graphing,Quality Management,0.0,3
Graphing,Engineering Management,0.0,4
Graphing,Process Optimization,0.0,5
Feature Engineering,Engineering Management,0.2789,1
Feature Engineering,Prompt Engineering,0.2429,2
Feature Engineering,Search Engine Marketing,0.1974,3
Feature Engineering,Search Engine Optimization,0.1922,4
Feature Engineering,Git (Version Control System),0.0,5
Exploratory Data Analysis,Data Analysis,0.6941,1
Exploratory Data Analysis,Analysis,0.3935,2
Exploratory Data Analysis,Statistical Analysis,0.2009,3
Exploratory Data Analysis,Regression Analysis,0.1941,4
Exploratory Data Analysis,Requirements Analysis,0.1888,5
Storyboarding,Git (Version Control System),0.0,1
Storyboarding,Threat Modeling,0.0,2
Storyboarding,Quality Management,0.0,3
Storyboarding,Engineering Management,0.0,4
Storyboarding,Process Optimization,0.0,5
Marketing,Market Opportunities,0.4929,1
Marketing,Email Marketing,0.4929,2
Marketing,Social Media Marketing,0.4074,3
Marketing,Search Engine Marketing,0.4005,4
Marketing,Git (Version Control System),0.0,5
Scikit Learn (Machine Learning Library),Machine Learning,0.5698,1
Scikit Learn (Machine Learning Library),Machine Learning Software,0.4028,2
Scikit Learn (Machine Learning Library),Machine Learning Algorithms,0.3848,3
Scikit Learn (Machine Learning Library),Applied Machine Learning,0.3771,4
Scikit Learn (Machine Learning Library),Machine Learning Methods,0.3771,5
Search Engine Marketing,Search Engine Optimization,0.5743,1
Search Engine Marketing,Marketing,0.4005,2
Search Engine Marketing,Engineering Management,0.2266,3
Search Engine Marketing,Prompt Engineering,0.1974,4
Search Engine Marketing,Market Opportunities,0.1974,5
Wireframing,Git (Version Control System),0.0,1
Wireframing,Threat Modeling,0.0,2
Wireframing,Quality Management,0.0,3
Wireframing,Engineering Management,0.0,4
Wireframing,Process Optimization,0.0,5
File Systems,Git (Version Control System),0.0,1
File Systems,Threat Modeling,0.0,2
File Systems,Quality Management,0.0,3
File Systems,Engineering Management,0.0,4
File Systems,Process Optimization,0.0,5
Requirements Analysis,Analysis,0.4797,1
Requirements Analysis,Data Analysis,0.272,2
Requirements Analysis,Statistical Analysis,0.2449,3
Requirements Analysis,Regression Analysis,0.2366,4
Requirements Analysis,Exploratory Data Analysis,0.1888,5
Google Ads,Git (Version Control System),0.0,1
Google Ads,Threat Modeling,0.0,2
Google Ads,Quality Management,0.0,3
Google Ads,Engineering Management,0.0,4
Google Ads,Process Optimization,0.0,5
Search Engine Optimization,Search Engine Marketing,0.5743,1
Search Engine Optimization,Process Optimization,0.2536,2
Search Engine Optimization,Engineering Management,0.2207,3
Search Engine Optimization,Prompt Engineering,0.1922,4
Search Engine Optimization,Feature Engineering,0.1922,5
Technical Support,Desktop Support,0.3135,1
Technical Support,Technical Communication,0.2915,2
Technical Support,Technical Writing,0.2915,3
Technical Support,Git (Version Control System),0.0,4
Technical Support,Threat Modeling,0.0,5
NumPy,Git (Version Control System),0.0,1
NumPy,Threat Modeling,0.0,2
NumPy,Quality Management,0.0,3
NumPy,Engineering Management,0.0,4
NumPy,Process Optimization,0.0,5
Decision Tree Learning,Machine Learning,0.1689,1
Decision Tree Learning,Classification And Regression Tree (CART),0.1598,2
Decision Tree Learning,Scikit Learn (Machine Learning Library),0.1503,3
Decision Tree Learning,Deep Learning,0.1351,4
Decision Tree Learning,Supervised Learning,0.1351,5
Cyber Attacks,Cyber Threat Intelligence,0.2424,1
Cyber Attacks,Git (Version Control System),0.0,2
Cyber Attacks,Threat Modeling,0.0,3
Cyber Attacks,Quality Management,0.0,4
Cyber Attacks,Engineering Management,0.0,5
Social Media Marketing,Social Media Management,0.5974,1
Social Media Marketing,Social Media Strategy,0.5505,2
Social Media Marketing,Marketing,0.4074,3
Social Media Marketing,Media Planning,0.2214,4
Social Media Marketing,Market Opportunities,0.2008,5
Presentations,Data Presentation,0.6161,1
Presentations,Git (Version Control System),0.0,2
Presentations,Threat Modeling,0.0,3
Presentations,Quality Management,0.0,4
Presentations,Engineering Management,0.0,5
Ideation,Git (Version Control System),0.0,1
Ideation,Threat Modeling,0.0,2
Ideation,Quality Management,0.0,3
Ideation,Engineering Management,0.0,4
Ideation,Process Optimization,0.0,5
Technical Writing,Report Writing,0.3135,1
Technical Writing,Technical Communication,0.2915,2
Technical Writing,Technical Support,0.2915,3
Technical Writing,Git (Version Control System),0.0,4
Technical Writing,Threat Modeling,0.0,5
Data Presentation,Presentations,0.6161,1
Data Presentation,Data Analysis,0.1967,2
Data Presentation,Data Visualization,0.1929,3
Data Presentation,Data Security,0.1914,4
Data Presentation,Data Quality,0.1821,5
Social Media Management,Social Media Marketing,0.5974,1
Social Media Management,Social Media Strategy,0.5715,2
Social Media Management,Media Planning,0.2298,3
Social Media Management,Project Management,0.1532,4
Social Media Management,Engineering Management,0.1352,5
UI/UX Research,User Research,0.3177,1
UI/UX Research,Git (Version Control System),0.0,2
UI/UX Research,Threat Modeling,0.0,3
UI/UX Research,Quality Management,0.0,4
UI/UX Research,Engineering Management,0.0,5
Critical Thinking,Strategic Thinking,0.3003,1
Critical Thinking,Git (Version Control System),0.0,2
Critical Thinking,Threat Modeling,0.0,3
Critical Thinking,Quality Management,0.0,4
Critical Thinking,Engineering Management,0.0,5
Project Controls,Version Control,0.3224,1
Project Controls,Project Management,0.267,2
Project Controls,Git (Version Control System),0.2399,3
Project Controls,Project Documentation,0.217,4
Project Controls,Project Planning,0.217,5
Statistical Hypothesis Testing,Statistical Analysis,0.2192,1
Statistical Hypothesis Testing,Usability Testing,0.2077,2
Statistical Hypothesis Testing,Descriptive Statistics,0.2022,3
Statistical Hypothesis Testing,Sampling (Statistics),0.2022,4
Statistical Hypothesis Testing,A/B Testing,0.2022,5
Package and Software Management,Spreadsheet Software,0.177,1
Package and Software Management,Tableau Software,0.177,2
Package and Software Management,Productivity Software,0.177,3
Package and Software Management,Machine Learning Software,0.1603,4
Package and Software Management,Data Visualization Software,0.1515,5
Machine Learning Algorithms,Machine Learning,0.6754,1
Machine Learning Algorithms,Machine Learning Software,0.4774,2
Machine Learning Algorithms,Applied Machine Learning,0.447,3
Machine Learning Algorithms,Machine Learning Methods,0.447,4
Machine Learning Algorithms,Scikit Learn (Machine Learning Library),0.3848,5
Large Language Modeling,Threat Modeling,0.2236,1
Large Language Modeling,Predictive Modeling,0.2139,2
Large Language Modeling,Bash (Scripting Language),0.1838,3
Large Language Modeling,Git (Version Control System),0.0,4
Large Language Modeling,Quality Management,0.0,5
Usability Testing,Usability,0.5798,1
Usability Testing,A/B Testing,0.2651,2
Usability Testing,Unit Testing,0.2651,3
Usability Testing,Statistical Hypothesis Testing,0.2077,4
Usability Testing,Git (Version Control System),0.0,5
Data Storytelling,Data Analysis,0.1908,1
Data Storytelling,Data Visualization,0.1871,2
Data Storytelling,Data Security,0.1856,3
Data Storytelling,Data Quality,0.1767,4
Data Storytelling,Data Ethics,0.173,5
Information Systems Security,Information Architecture,0.3348,1
Information Systems Security,Data Security,0.2573,2
Information Systems Security,Computer Security,0.2512,3
Information Systems Security,Network Security,0.2454,4
Information Systems Security,Cloud Security,0.2401,5
User Experience Design,Persona (User Experience),0.5704,1
User Experience Design,User Research,0.2162,2
User Experience Design,User Story,0.2104,3
User Experience Design,Solution Design,0.2015,4
User Experience Design,Design Reviews,0.1961,5
Applicant Tracking Systems,Application Security,0.3265,1
Applicant Tracking Systems,Git (Version Control System),0.0,2
Applicant Tracking Systems,Threat Modeling,0.0,3
Applicant Tracking Systems,Quality Management,0.0,4
Applicant Tracking Systems,Engineering Management,0.0,5
Analysis,Data Analysis,0.5669,1
Analysis,Statistical Analysis,0.5105,2
Analysis,Regression Analysis,0.4933,3
Analysis,Requirements Analysis,0.4797,4
Analysis,Exploratory Data Analysis,0.3935,5
Ggplot2,Git (Version Control System),0.0,1
Ggplot2,Threat Modeling,0.0,2
Ggplot2,Quality Management,0.0,3
Ggplot2,Engineering Management,0.0,4
Ggplot2,Process Optimization,0.0,5
Computer Networking,Computer Security,0.2987,1
Computer Networking,Cloud Computing,0.2805,2
Computer Networking,Network Security,0.2719,3
Computer Networking,Computer Hardware,0.2638,4
Computer Networking,Network Architecture,0.2549,5
User Research,UI/UX Research,0.3177,1
User Research,User Story,0.2651,2
User Research,User Experience Design,0.2162,3
User Research,Persona (User Experience),0.2072,4
User Research,Git (Version Control System),0.0,5
Professional Development,Mobile Development,0.2581,1
Professional Development,Workforce Development,0.2581,2
Professional Development,Cross Platform Development,0.1955,3
Professional Development,Git (Version Control System),0.0,4
Professional Development,Threat Modeling,0.0,5
Team Building,Team Management,0.3407,1
Team Building,Git (Version Control System),0.0,2
Team Building,Threat Modeling,0.0,3
Team Building,Quality Management,0.0,4
Team Building,Engineering Management,0.0,5
Threat Management,Threat Modeling,0.3297,1
Threat Management,Cyber Threat Intelligence,0.2503,2
Threat Management,Project Management,0.199,3
Threat Management,Engineering Management,0.1756,4
Threat Management,Configuration Management,0.1724,5
Object Oriented Programming (OOP),Python Programming,0.1637,1
Object Oriented Programming (OOP),Programming Principles,0.1637,2
Object Oriented Programming (OOP),Loyalty Programs,0.1637,3
Object Oriented Programming (OOP),Git (Version Control System),0.0,4
Object Oriented Programming (OOP),Threat Modeling,0.0,5
Hardening,Git (Version Control System),0.0,1
Hardening,Threat Modeling,0.0,2
Hardening,Quality Management,0.0,3
Hardening,Engineering Management,0.0,4
Hardening,Process Optimization,0.0,5
Data Visualization,Data Visualization Software,0.7438,1
Data Visualization,Interactive Data Visualization,0.701,2
Data Visualization,Data Analysis,0.2128,3
Data Visualization,Data Security,0.207,4
Data Visualization,Data Quality,0.197,5
Cloud Infrastructure,IT Infrastructure,0.5575,1
Cloud Infrastructure,Cloud Security,0.2952,2
Cloud Infrastructure,Cloud Computing,0.2901,3
Cloud Infrastructure,Cloud Services,0.2775,4
Cloud Infrastructure,Infrastructure as Code (IaC),0.2233,5
